item index num(items[i]),id of checkin,city,createdAt,createdAtDate,createdAtDay,createdAtDayArrayValue,createdAtTime,createAtTimeMins,venue name,location lat,location long,
183,4fe23b73e4b0b689ab6f880c,New York,1340226419,"Wednesday, June 20, 12",Wednesday,2,17:06,1026,ChatID,40.73870023,-73.9890146,
186,4fe13bbfe4b00017d7cca626,New York,1340160959,"Tuesday, June 19, 12",Tuesday,1,22:55,1375,Palladium Athletic Facility,40.73342001,-73.98809062,
188,4fe09e7ae4b0e2a009e4a403,New York,1340120698,"Tuesday, June 19, 12",Tuesday,1,11:44,704,ChatID,40.73870023,-73.9890146,
191,4fdf3cdbe4b082d0773b5aeb,New York,1340030171,"Monday, June 18, 12",Monday,0,10:36,636,ChatID,40.73870023,-73.9890146,
197,4fdcbc74e4b049c33b6f4cc2,New York,1339866228,"Saturday, June 16, 12",Saturday,5,13:03,783,ITP,40.72944585,-73.99366021,
198,4fdbecb7e4b0dce4ffde2c07,New York,1339813047,"Friday, June 15, 12",Friday,4,22:17,1337,Palladium Athletic Facility,40.73342001,-73.98809062,
200,4fdb71c6e4b0bcab810d546d,New York,1339781574,"Friday, June 15, 12",Friday,4,13:32,812,ChatID,40.73870023,-73.9890146,
202,4fda2a9ae4b040461cb66b06,New York,1339697818,"Thursday, June 14, 12",Thursday,3,14:16,856,ChatID,40.73870023,-73.9890146,
207,4fd8a45de4b0c84933e36f8b,New York,1339597917,"Wednesday, June 13, 12",Wednesday,2,10:31,631,ChatID,40.73870023,-73.9890146,
210,4f5fb3a1e4b06f48bfe14afc,New York,1331671969,"Tuesday, March 13, 12",Tuesday,1,16:52,1012,Palladium Athletic Facility,40.73342001,-73.98809062,
214,4f5647eee4b0d04330408350,New York,1331054574,"Tuesday, March 6, 12",Tuesday,1,13:22,802,ITP,40.72944585,-73.99366021,
217,4f542036e4b063296ee3ca93,New York,1330913334,"Sunday, March 4, 12",Sunday,6,22:08,1328,ITP,40.72944585,-73.99366021,
218,4f53c6ebe4b06025ea550f52,New York,1330890475,"Sunday, March 4, 12",Sunday,6,15:47,947,Palladium Athletic Facility,40.73342001,-73.98809062,
219,4f5169fee4b050039c7c3ec6,New York,1330735614,"Friday, March 2, 12",Friday,4,20:46,1246,ITP,40.72944585,-73.99366021,
222,4f4fde0fe4b0cad93ca0b1ed,New York,1330634255,"Thursday, March 1, 12",Thursday,3,16:37,997,ITP,40.72944585,-73.99366021,
223,4f4f874ee4b008082c6b767d,New York,1330612046,"Thursday, March 1, 12",Thursday,3,10:27,627,Palladium Athletic Facility,40.73342001,-73.98809062,
225,4f4ede0de4b03cdd7978b605,New York,1330568717,"Wednesday, February 29, 12",Wednesday,2,22:25,1345,ITP,40.72944585,-73.99366021,
226,4f4d1009e4b0cb12b8bea1e8,New York,1330450441,"Tuesday, February 28, 12",Tuesday,1,13:34,814,ITP,40.72944585,-73.99366021,
229,4f4a89d4e4b01739bc04fe25,New York,1330285012,"Sunday, February 26, 12",Sunday,6,15:36,936,Palladium Athletic Facility,40.73342001,-73.98809062,
233,4f46b426e4b0186351247466,New York,1330033702,"Thursday, February 23, 12",Thursday,3,17:48,1068,ITP,40.72944585,-73.99366021,
234,4f468b22e4b0cc9b8120cb52,New York,1330023202,"Thursday, February 23, 12",Thursday,3,14:53,893,Palladium Athletic Facility,40.73342001,-73.98809062,
235,4f4525a0e4b0ea314bc4bd64,New York,1329931680,"Wednesday, February 22, 12",Wednesday,2,13:28,808,ITP,40.72944585,-73.99366021,
237,4f43d28ce4b011b007ecdc47,New York,1329844876,"Tuesday, February 21, 12",Tuesday,1,13:21,801,ITP,40.72944585,-73.99366021,
239,4f41109ee4b0daed4365b3e9,New York,1329664158,"Sunday, February 19, 12",Sunday,6,11:09,669,Palladium Athletic Facility,40.73342001,-73.98809062,
240,4f3ff897e4b02a1896c04210,New York,1329592471,"Saturday, February 18, 12",Saturday,5,15:14,914,ITP,40.72944585,-73.99366021,
243,4f3d5e34e4b054d24125d964,New York,1329421876,"Thursday, February 16, 12",Thursday,3,15:51,951,ITP,40.72944585,-73.99366021,
244,4f3d5e28e4b022e41dc88fb6,New York,1329421864,"Thursday, February 16, 12",Thursday,3,15:51,951,Palladium Athletic Facility,40.73342001,-73.98809062,
247,4f3c54e7e4b08f6e57b29318,New York,1329353959,"Wednesday, February 15, 12",Wednesday,2,20:59,1259,ITP,40.72944585,-73.99366021,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
