item index num(items[i]),id of checkin,createdAt,createdATDateTimeFormat,createdAtDate,,createdAtDay,createdAtTime,venue name,location lat,location long
69,502c3222e4b01590f9d9d0b4,1345073698,8/15/12 7:34 PM,"Wednesday, August 15, 12","Wednesday, August 15, 12",Wednesday,7:34 PM,Mexican Radio,40.7216609,-73.99736461
70,502bb1f2e4b0392da8015e00,1345040882,8/15/12 10:28 AM,"Wednesday, August 15, 12","Wednesday, August 15, 12",Wednesday,10:28 AM,ChatID,40.73870023,-73.9890146
71,502a9351e4b02d3a50868507,1344967505,8/14/12 2:05 PM,"Tuesday, August 14, 12","Tuesday, August 14, 12",Tuesday,2:05 PM,ChatID,40.73870023,-73.9890146
72,502a9340e4b048789c7f9ef7,1344967488,8/14/12 2:04 PM,"Tuesday, August 14, 12","Tuesday, August 14, 12",Tuesday,2:04 PM,Num Pang Sandwich Shop,40.73403987,-73.9931753
73,5029485ae4b041e2a7c1878b,1344882778,8/13/12 2:32 PM,"Monday, August 13, 12","Monday, August 13, 12",Monday,2:32 PM,ChatID,40.73870023,-73.9890146
74,50294849e4b039d48cef5201,1344882761,8/13/12 2:32 PM,"Monday, August 13, 12","Monday, August 13, 12",Monday,2:32 PM,David's Bagels,40.73224896,-73.98166284
75,5027e81ce4b092aac681da21,1344792604,8/12/12 1:30 PM,"Sunday, August 12, 12","Sunday, August 12, 12",Sunday,1:30 PM,Robert Moses State Park Beach,40.62242208,-73.26662064
76,5027e7cae4b031f7a292668f,1344792522,8/12/12 1:28 PM,"Sunday, August 12, 12","Sunday, August 12, 12",Sunday,1:28 PM,Solas,40.72947025,-73.98798466
77,50269adde4b0f080a57c7058,1344707293,8/11/12 1:48 PM,"Saturday, August 11, 12","Saturday, August 11, 12",Saturday,1:48 PM,Palladium Athletic Facility,40.73342001,-73.98809062
78,50255ee5e4b0a32dd893e88d,1344626405,8/10/12 3:20 PM,"Friday, August 10, 12","Friday, August 10, 12",Friday,3:20 PM,goodburger,40.73736755,-73.99015091
79,50255edae4b0310dd1d832b0,1344626394,8/10/12 3:19 PM,"Friday, August 10, 12","Friday, August 10, 12",Friday,3:19 PM,ChatID,40.73870023,-73.9890146
80,50255ec9e4b0a32dd893d99c,1344626377,8/10/12 3:19 PM,"Friday, August 10, 12","Friday, August 10, 12",Friday,3:19 PM,Zaro's Bakery,40.73959983,-73.98952961
81,50255ebae4b0ea71a2f46be7,1344626362,8/10/12 3:19 PM,"Friday, August 10, 12","Friday, August 10, 12",Friday,3:19 PM,Taverna Kyclades,40.775199,-73.9092831
82,5023cd30e4b00ac2d873a0df,1344523568,8/9/12 10:46 AM,"Thursday, August 9, 12","Thursday, August 9, 12",Thursday,10:46 AM,ChatID,40.73870023,-73.9890146
83,5023cd1fe4b0f75a8cf05f55,1344523551,8/9/12 10:45 AM,"Thursday, August 9, 12","Thursday, August 9, 12",Thursday,10:45 AM,David's Bagels,40.73224896,-73.98166284
84,502357dce4b078368552e479,1344493532,8/9/12 2:25 AM,"Thursday, August 9, 12","Thursday, August 9, 12",Thursday,2:25 AM,7 Stuyvesant Oval,40.73153678,-73.97951637
85,502357bee4b020e1a17f6a92,1344493502,8/9/12 2:25 AM,"Thursday, August 9, 12","Thursday, August 9, 12",Thursday,2:25 AM,Palladium Athletic Facility,40.73342001,-73.98809062
86,502260a9e4b0aa51044f20a2,1344430249,8/8/12 8:50 AM,"Wednesday, August 8, 12","Wednesday, August 8, 12",Wednesday,8:50 AM,7 Stuyvesant Oval,40.73153678,-73.97951637
87,50216320e4b03c8ab9193803,1344365344,8/7/12 2:49 PM,"Tuesday, August 7, 12","Tuesday, August 7, 12",Tuesday,2:49 PM,Schnipper's Quality Kitchen,40.7407458,-73.98768889
88,502162f1e4b03c8ab9191f65,1344365297,8/7/12 2:48 PM,"Tuesday, August 7, 12","Tuesday, August 7, 12",Tuesday,2:48 PM,ChatID,40.73870023,-73.9890146
89,502162e3e4b0e0100176762e,1344365283,8/7/12 2:48 PM,"Tuesday, August 7, 12","Tuesday, August 7, 12",Tuesday,2:48 PM,David's Bagels,40.73224896,-73.98166284
90,50209298e4b0dc6b1b458584,1344311960,8/6/12 11:59 PM,"Monday, August 6, 12","Monday, August 6, 12",Monday,11:59 PM,Webster Hall,40.731698,-73.98922694
91,501c7e08e4b03f68ac1797cd,1344044552,8/3/12 9:42 PM,"Friday, August 3, 12","Friday, August 3, 12",Friday,9:42 PM,Palladium Athletic Facility,40.73342001,-73.98809062
92,501c7dfae4b0db1da5aa6704,1344044538,8/3/12 9:42 PM,"Friday, August 3, 12","Friday, August 3, 12",Friday,9:42 PM,ChatID,40.73870023,-73.9890146
93,501bc9a0e4b03c7b5dded43e,1343998368,8/3/12 8:52 AM,"Friday, August 3, 12","Friday, August 3, 12",Friday,8:52 AM,7 Stuyvesant Oval,40.73153678,-73.97951637
94,501b359de4b01e6a90a6f4ed,1343960477,8/2/12 10:21 PM,"Thursday, August 2, 12","Thursday, August 2, 12",Thursday,10:21 PM,Brooklyn Bowl,40.72197456,-73.95756823
95,5019bca5e4b0cd6c86721969,1343863973,8/1/12 7:32 PM,"Wednesday, August 1, 12","Wednesday, August 1, 12",Wednesday,7:32 PM,Beecher's Handmade Cheese,40.73898202,-73.98967713
96,5019bc88e4b02d5a4add807c,1343863944,8/1/12 7:32 PM,"Wednesday, August 1, 12","Wednesday, August 1, 12",Wednesday,7:32 PM,ChatID,40.73870023,-73.9890146
